lemma;sentiment
бесподобный;1
невнятный;1
отличнейший;1
обалденный;1
безумно;1
непонятно;1
неприятно;1
отвратный;1
нежный;1
посредственный;1
шикарный;1
нелогичный;1
клевый;1
средненький;1
непонятный;1
слабенький;1
неестественный;1
неплохо;1
суперский;1
неплохой;1
тупо;1
превосходный;1
неоднозначный;1
прикольный;1
необычный;1
красочный;1
бессмысленный;1
нереальный;1
неожиданный;1
классный;1
офигительный;1
непредсказуемый;1
изумительный;1
неудобный;1
безупречно;1
тупой;1
убогий;1
простенький;1
разочарованный;1
нелепый;1
несерьезный;1
бесполезный;1
безупречный;1
непривычный;1
удачный;1
неторопливый;1
жутко;1
однозначный;1
некрасивый;1
ненужный;1
потрясающий;1
одноразовый;1
шикарно;1
замечательный;1
чудесный;1
бесить;1
отвратительный;1
неприятный;1
невзрачный;1
плохо;1
нереально;1
восхитительный;1
реалистичный;1
невероятный;1
добротный;1
веселый;1
фуфло;1
туповатый;1
симпатичный;1
худой;1
фигня;1
маловато;1
отстой;1
продуманный;1
банальный;1
скучный;1
идиотский;1
отстойный;1
динамичный;1
добротно;1
нестандартный;1
безнадежный;1
неудачный;1
приятно;1
нудно;1
ужасно;1
гениальный;1
любимый;1
немаловажный;1
классно;1
логичный;1
круто;1
гармоничный;1
забавный;1
крутой;1
однозначно;1
слабоватый;1
смешной;1
продвинутый;1
удивительный;1
бесконечный;1
неудобно;1
полнейший;1
пошлый;1
идеально;1
нервно;1
жалко;1
блестящий;1
бредовый;1
предсказуемый;1
неподходящий;1
редко;1
понятный;1
ярко;1
стыдный;1
великолепный;1
кривой;1
плохой;1
недовольный;1
скучно;1
довольный;1
терпимый;1
непросто;1
ужасный;1
глубокий;1
безумный;1
примитивный;1
оригинальный;1
невозможно;1
раскрытый;1
неинтересный;1
напрягать;1
отличный;1
своеобразный;1
однообразный;1
незатейливый;1
стильный;1
негативный;1
обязательно;1
корявый;1
искренний;1
достойный;1
сплошной;1
ненавязчивый;1
порадовать;1
смешно;1
бездарный;1
согласный;1
удивительно;1
дурацкий;1
неспешный;1
новенький;1
однотипный;1
жуть;1
разочароваться;1
офигенный;1
больно;1
хреновый;1
статичный;1
потрясный;1
стандартный;1
неправильный;1
бестолковый;1
увлекательный;1
унылый;1
необычно;1
плоский;1
подкачать;1
необыкновенный;1
жуткий;1
жалеть;1
неповторимый;1
надоедать;1
незамысловатый;1
дико;1
приятный;1
переставать;1
незначительный;1
легкий;1
отрывать;1
логично;1
откровенный;1
нормально;1
несомненный;1
насыщенный;1
пожалеть;1
качественный;1
сильно;1
вменяемый;1
раздражать;1
средне;1
запутанный;1
грустно;1
сочный;1
супер;1
одинаковый;1
бесплатно;1
неожиданно;1
субъективный;1
несложный;1
незаметно;1
бесспорный;1
грустный;1
толковый;1
особенный;1
приличный;1
класный;1
тонкий;1
жалкий;1
глупый;1
неописуемый;1
позитивный;1
разочаровать;1
неоправданный;1
худший;1
сложный;1
идеальный;1
малость;1
непередаваемый;1
непринужденный;1
неудачно;1
простоватый;1
умный;1
милый;1
забавно;1
яркий;1
незаменимый;1
слабый;1
небыть;1
отлично;1
неинтересно;1
портить;1
глупо;1
страшно;1
полезный;1
шумный;1
нехороший;1
цеплять;1
настольный;1
безобразие;1
недостаточно;1
сюжетный;1
имхо;1
непревзойденный;1
непростой;1
нормальный;1
нудный;1
недолго;1
тянуть;1
непродуманный;1
отвратно;1
впечатлить;1
светлый;1
невыносимый;1
блеклый;1
типичный;1
недоделанный;1
удачно;1
равнодушный;1
раздражающий;1
весело;1
мутный;1
незаметный;1
дотягивать;1
вобще;1
надоесть;1
скучноватый;1
страшный;1
неприличный;1
удивленный;1
вялый;1
легко;1
плавный;1
бледный;1
завораживающий;1
невольно;1
грамотно;1
эффектный;1
сказочный;1
получше;1
начинающий;1
смазанный;1
мало;1
интересный;1
безобразный;1
честно;1
серый;1
переключать;1
внятный;1
мило;1
кошмарный;1
адекватный;1
отвратительно;1
неадекватный;1
нравиться;1
лишенный;1
старенький;1
растянутый;1
интуитивный;1
годиться;1
шедевральный;1
сравнимый;1
сносный;1
чуткий;1
переживать;1
невозможный;1
нехватать;1
перечисленный;1
хилый;1
отменный;1
необходимый;1
неимоверно;1
разнообразный;1
безликий;1
правдоподобный;1
четко;1
глубоко;1
неважно;1
безмерно;1
небольшой;1
интересно;1
специфичный;1
поразительный;1
неспешно;-1
чумовой;-1
пустой;-1
шибко;-1
редкостный;-1
правильный;-1
убожество;-1
посредственно;-1
необычайный;-1
невообразимый;-1
важно;-1
мерзкий;-1
умопомрачительный;-1
достойно;-1
четкий;-1
лишний;-1
здоровский;-1
нечасто;-1
излишний;-1
вцелый;-1
бесчисленный;-1
печальный;-1
красивый;-1
тусклый;-1
актуальный;-1
спорный;-1
переплюнуть;-1
бред;-1
красочно;-1
свежий;-1
задумывать;-1
неимоверный;-1
дешевый;-1
натуральный;-1
темно;-1
второстепенный;-1
особо;-1
неподготовленный;-1
органично;-1
умелый;-1
гениально;-1
удобно;-1
наивный;-1
чушь;-1
захватывать;-1
прилично;-1
слабовато;-1
восторг;-1
теплый;-1
мрачный;-1
радовать;-1
реально;-1
быстро;-1
крепко;-1
грамотный;-1
элементарный;-1
размытый;-1
ручной;-1
неподражаемый;-1
сумасшедший;-1
фантастический;-1
стоящий;-1
эмоциональный;-1
привычно;-1
ленивый;-1
заморачивать;-1
оторваться;-1
тихо;-1
прелесть;-1
улет;-1
нелинейный;-1
обожать;-1
долго;-1
душевный;-1
привычный;-1
осилить;-1
отпускать;-1
тяжело;-1
медленно;-1
классический;-1
сложно;-1
странно;-1
непосредственный;-1
подходящий;-1
безотказный;-1
непонравиться;-1
сырой;-1
навязчивый;-1
чудесно;-1
неуверенный;-1
фига;-1
дамский;-1
скудный;-1
хитрый;-1
устаревший;-1
затянутый;-1
специфический;-1
жесть;-1
утомительный;-1
занудный;-1
ясный;-1
захотеться;-1
бесконечность;-1
паршивый;-1
вторичный;-1
вобщий;-1
бесплатный;-1
актуально;-1
битый;-1
малоизвестный;-1
живой;-1
стильно;-1
симпотичный;-1
уникальный;-1
заумный;-1
похожий;-1
светло;-1
вкусный;-1
низко;-1
полезно;-1
подобранный;-1
поделка;-1
испортить;-1
неровный;-1
безусловный;-1
лучший;-1
соответствующий;-1
перечитать;-1
жесткий;-1
недоумение;-1
бодрый;-1
обидно;-1
надолго;-1
неверно;-1
шикарнейший;-1
плюсовый;-1
выдающийся;-1
ровный;-1
немножко;-1
незабываемый;-1
любящий;-1
желательный;-1
афигенный;-1
конкретно;-1
средненько;-1
шаблонный;-1
занятный;-1
серьезно;-1
чересчур;-1
здорово;-1
советовать;-1
емкий;-1
потерянный;-1
перебор;-1
чуть-чуть;-1
непрерывный;-1
немыслимый;-1
очевидный;-1
понятно;-1
явно;-1
доступный;-1
неопытный;-1
перечислять;-1
настоятельно;-1
ерунда;-1
жестко;-1
доступно;-1
тяжелый;-1
многовато;-1
сильный;-1
шедевр;-1
подробный;-1
мыльный;-1
удобный;-1
точный;-1
много;-1
ненадолго;-1
корректный;-1
разумный;-1
немалый;-1
многообещающий;-1
завораживать;-1
длинный;-1
тупить;-1
немой;-1
ужасающий;-1
